Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect
Brigand Hood+10,44,48,43,41,22,17,16,19,0,18,18,0,0,60,1.2,E,,Titanite,
Cale's Helm,39,38,38,40,11,12,9,11,0,17,11,0,0,60,3,D,,Titanite,
Cale's Helm+10,78,77,77,80,22,23,19,22,0,34,21,0,0,60,3,D,,Titanite,
Catarina Helm,57,57,67,67,12,14,8,12,9,10,16,0,0,95,4.5,C,,Twinkling Titanite,
Catarina Helm+5,86,86,100,86,18,20,12,16,9,15,24,0,0,95,4.5,C,,Twinkling Titanite,
Chaos Hood,23,25,22,22,17,25,17,17,0,10,9,13,12,55,0.9,E,"16 INT, 16 FTH",Twinkling Titanite,Casting Speed +
Chaos Hood+5,35,37,33,33,25,38,25,25,0,16,14,20,18,55,0.9,E,"16 INT, 16 FTH",Twinkling Titanite,Casting Speed +
Creighton's Helm,40,39,41,40,12,13,7,12,6,9,15,0,0,70,4.3,C,,Titanite,
Creighton's Helm+10,80,78,83,80,24,27,14,24,6,18,30,0,0,70,4.3,C,,Titanite,
Crown of the Sunken King,35,33,35,33,9,8,8,7,0,18,10,10,0,100,4,E,,Twinkling Titanite,
Crown of the Sunken King+5,70,66,70,66,17,15,16,14,0,35,20,20,0,100,4,E,,Twinkling Titanite,
Dark Mask,44,44,47,42,12,12,8,25,6,12,14,0,0,90,3.8,C,,Twinkling Titanite,FTH & INT +1
Dark Mask+5,66,66,70,64,17,17,12,37,6,18,21,0,0,90,3.8,C,,Twinkling Titanite,FTH & INT +1
Desert Sorcesress Hood,10,10,10,10,9,6,8,8,0,4,2,6,3,50,0.6,E,,Titanite,INT+3
Desert Sorcesress Hood+10,20,21,19,19,18,13,15,17,0,7,5,13,6,50,0.6,E,,Titanite,INT+3
Dingy Hood,14,16,13,13,9,7,8,8,0,5,6,12,12,40,0.8,E,,Titanite,
Dingy Hood+10,28,32,27,27,17,15,16,16,0,11,12,25,25,40,0.8,E,,Titanite,
Dragon Acolyte Mask,23,24,22,22,9,9,11,11,0,11,9,0,11,55,1.5,E,,Titanite,
Dragon Acolyte Mask+10,45,48,44,44,19,19,22,23,0,21,17,0,21,55,1.5,E,,Titanite,
Dragon Sage Hood,25,27,25,25,11,11,12,13,0,12,10,0,21,55,2,E,,Titanite,FTH & INT +1
Dragon Sage Hood+10,50,53,49,49,21,21,24,25,0,23,19,0,42,55,2,E,,Titanite,FTH & INT +1
Dragonrider Helm,113,106,118,113,13,12,13,13,14,12,16,0,0,95,7.5,C,,Twinkling Titanite,
Dragonrider Helm+5,170,159,177,170,19,18,19,19,14,18,23,0,0,95,7.5,C,,Twinkling Titanite,
Drakeblood Helm,76,74,83,79,10,16,8,14,7,14,18,0,0,85,4.7,C,,Titanite,
Drakeblood Helm+10,95,92,103,98,15,24,11,20,7,20,26,0,0,85,4.7,C,,,
Drakekeeper Helm,67,65,71,67,10,11,9,10,12,10,14,0,14,90,6,C,,Titanite,
Drakekeeper Helm+10,135,130,142,135,21,23,19,21,12,21,29,0,28,90,6,C,,Titanite,
Drangleic Helm,79,75,86,81,13,13,11,13,10,13,17,0,0,90,5.9,C,,Twinkling Titanite,
Drangleic Helm+5,119,112,129,121,19,19,17,19,10,20,26,0,0,90,5.9,C,,Twinkling Titanite,
Durgo's Hat,22,21,23,21,12,10,9,10,0,9,8,0,0,48,2.6,E,16 DEX,Twinkling Titanite,Bow Range +
Durgo's Hat+5,33,32,35,31,18,15,13,15,0,14,12,0,0,48,2.6,E,16 DEX,Twinkling Titanite,Bow Range +
Elite Knight Helm,40,39,44,40,11,12,8,11,8,9,13,0,0,85,4.5,C,,Titanite,
Elite Knight Helm+10,80,78,88,80,23,24,16,23,8,19,27,0,0,85,4.5,C,,Titanite,
Executioner Helm,61,56,65,63,14,15,10,33,5,11,42,0,29,65,4.4,D,,Twinkling Titanite,
Executioner Helm+5,92,84,97,95,21,22,15,49,5,17,63,0,44,65,4.4,D,,Twinkling Titanite,
Falconer Helm,43,38,47,44,13,19,7,13,6,9,17,0,0,75,4.5,D,,Titanite,
Falconer Helm+10,86,76,93,88,26,37,14,26,6,18,33,0,0,75,4.5,D,,Titanite,
Faraam Helm,47,45,51,48,11,12,7,11,9,9,12,0,0,85,4.8,C,,Titanite,
Faraam Helm+10,95,90,101,96,21,23,14,21,9,18,25,0,0,85,4.8,C,,Titanite,
Grave Warden Mask,7,7,6,6,3,3,4,4,0,4,3,0,0,40,0.5,E,,Titanite,
Grave Warden Mask+10,13,14,13,13,6,6,7,7,0,7,6,0,0,40,0.5,E,,Titanite,
Gyrm Helm,86,86,90,82,12,11,10,12,19,24,19,13,13,70,8.2,C,,Titanite,
Gyrm Helm+10,172,172,179,164,25,23,20,25,19,49,37,26,26,70,8.2,C,,Titanite,
Gyrm Warrior Greathelm,99,103,103,90,12,14,14,12,20,9,23,0,0,75,8.9,C,14 STR,Titanite,
Gyrm Warrior Greathelm+10,197,205,205,181,24,28,28,14,20,17,46,0,0,75,8.9,C,14 STR,Titanite,
Gyrm Warrior Helm,99,103,103,90,12,14,14,12,20,9,23,0,0,75,8.9,C,14 STR,Titanite,
Gyrm Warrior Helm+10,197,205,205,181,24,28,28,24,20,17,46,0,0,75,8.9,C,14 STR,Titanite,
Havel's Helm,112,98,126,112,16,17,15,16,17,6,27,13,13,255,7.5,C,20 STR,Twinkling Titanite,
Havel's Helm+5,168,147,189,168,24,26,22,24,17,10,40,19,19,255,7.5,C,20 STR,Twinkling Titanite,
Heide Knight Greathelm,59,56,63,59,10,13,9,18,11,19,15,0,16,90,6,C,,Titanite,
Heide Knight Greathelm+10,119,111,127,119,20,26,17,36,11,39,29,0,31,90,6,C,,Titanite,
Heide Knight Iron Mask,59,56,63,59,10,13,9,18,11,19,15,0,16,90,6,C,,Titanite,
Heide Knight Iron Mask+10,119,111,127,119,29,26,17,36,11,39,29,0,31,90,6,C,,Titanite,
Helm of Aurous,46,44,48,46,16,16,11,17,6,13,16,0,0,80,3.8,C,,Twinkling Titanite,
Helm of Aurous (Transparent),29,31,27,28,11,9,12,10,0,8,9,0,0,40,1.2,E,,Twinkling Titanite,
Helm of Aurous+5,69,67,72,69,24,24,17,26,6,19,25,0,0,80,3.8,C,,Twinkling Titanite,
Helm of Aurous+5 (Transparent),43,46,41,42,17,14,18,15,0,12,13,0,0,40,1.2,E,,Twinkling Titanite,
Hexer's Hood,23,25,22,22,17,25,17,24,0,10,9,13,12,55,0.9,E,,Twinkling Titanite,Spell Increase + 1int/1 faith
Hexer's Hood+5,35,37,33,33,25,38,25,37,0,16,14,20,18,55,0.9,E,,Twinkling Titanite,Spell Increase + 1int/1 faith
Hollow Infantry Helm,31,32,30,30,7,6,8,7,0,7,7,0,0,40,4,D,,Titanite,
Hollow Infantry Helm+10,62,64,61,61,13,11,17,13,0,13,13,0,0,40,4,D,,Titanite,
Hollow Solider Helm,34,33,36,35,11,12,8,11,4,9,11,0,0,35,4.3,C,,Titanite,
Hollow Solider Helm+10,69,66,73,70,22,23,15,22,4,18,21,0,0,35,4.3,C,,Titanite,
Hunter's Hat,17,18,16,16,6,4,6,7,0,7,6,0,0,50,1.2,D,,Titanite,
Hunter's Hat+10,33,35,32,32,12,8,16,13,0,13,11,0,0,50,1.2,D,,Titanite,
Imperious Helm,63,61,67,63,13,11,9,13,10,11,13,10,10,85,5.8,C,,Titanite,
Imperious Helm+10,127,121,133,127,26,22,18,26,10,21,27,21,21,85,5.8,C,,Titanite,
Imported Hood,16,18,15,15,5,4,6,5,0,6,6,0,0,35,2.2,D,,Titanite,
Imported Hood+10,32,36,31,31,9,8,11,9,0,12,13,0,0,35,2.2,D,,Titanite,
Infantry Helm,38,40,38,38,10,9,12,10,0,10,10,0,0,55,4,D,,Titanite,
Infantry Helm+10,77,80,75,75,19,18,25,19,0,20,20,0,0,55,4,D,,Titanite,
Insolent Helm,42,40,45,42,11,11,13,10,6,10,13,10,10,75,4.8,C,,Titanite,FTH +2
Insolent Helm+10,84,80,90,84,21,21,27,20,6,19,25,21,21,75,4.8,C,,Titanite,FTH +2
Ironclad Helm,64,59,68,64,10,11,7,10,13,6,17,0,0,90,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit
Ironclad Helm+10,129,119,137,129,20,22,14,20,13,11,35,0,0,90,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit
Jester's Cap,34,37,33,33,19,19,19,19,0,21,16,20,14,45,3,D,14 DEX,Titanite,Item Discovery
Jester's Cap+10,69,73,67,67,39,39,39,39,0,42,32,41,27,45,3,D,14 DEX,Titanite,Item Discovery
King's Crown,45,43,48,45,15,15,12,11,2.5,17,16,17,0,230,3.8,C,"14 STR, 12 DEX",Twinkling Titanite,INT & FTH +3
King's Crown+5,68,65,72,68,23,23,18,16,2.5,26,23,25,0,230,3.8,C,"14 STR, 12 DEX",Twinkling Titanite,INT & FTH +3
Knight Helm,35,34,40,35,11,11,8,11,8,9,13,0,0,80,4.2,C,,Titanite,
Knight Helm+10,71,69,80,71,21,23,15,21,8,19,27,0,0,80,4.2,C,,Titanite,
Leydia Black Hood,20,22,19,19,14,9,8,18,0,10,9,8,12,50,1,E,,Twinkling Titanite,FTH & INT +1
Leydia Black Hood+5,30,33,28,28,20,14,12,27,0,15,14,12,18,50,1,E,,Twinkling Titanite,FTH & INT +1
Leydia White Hood,14,15,13,13,9,9,8,12,0,7,6,5,8,50,1,E,,Titanite,
Leydia White Hood+10,28,30,26,26,18,18,18,24,0,13,12,10,16,50,1,E,,Titanite,
Lion Warrior Helm,11,12,11,11,5,5,5,9,0,4,4,8,16,40,0.5,E,,Titanite,Reduces Falling Damage
Lion Warrior Helm+10,23,24,22,22,11,10,10,18,0,8,8,16,32,40,0.5,E,,Titanite,Reduces Falling Damage
Looking Glass Mask,100,89,113,100,14,15,23,14,16,13,25,0,0,150,7,C,,Twinkling Titanite,
Looking Glass Mask+5,150,133,169,150,21,23,34,21,16,20,37,0,0,150,7,C,,Twinkling Titanite,
Lucatiel's Mask,25,27,25,25,14,12,15,14,0,11,9,5,9,65,2,D,,Titanite,
Lucatiel's Mask+10,51,55,49,49,28,25,30,28,0,22,17,9,18,64,2,D,,Titanite,
Mad Warrior Mask,69,69,72,65,11,11,8,11,9,14,14,13,13,75,5,C,,Twinkling Titanite,
Mad Warrior Mask+5,103,103,108,98,17,16,12,17,9,21,21,29,29,75,5,C,,Twinkling Titanite,
Manikin Mask,36,38,35,35,18,17,22,22,0,21,29,9,0,65,1.8,E,,Titanite,
Manikin Mask+10,72,76,69,69,37,34,43,45,0,43,59,19,0,65,1.8,E,,Titanite,
Mask of Judgment,49,53,47,47,25,20,17,22,0,13,14,0,27,50,2.5,E,,Twinkling Titanite,
Mask of Judgment+5,74,79,71,71,38,30,26,33,0,20,21,0,41,50,2.5,E,,Twinkling Titanite,
Mastodon Helm,74,69,79,74,10,10,6,10,12,12,14,0,0,90,6.6,C,16 STR,Titanite,
Mastodon Helm+10,147,138,157,147,19,21,13,19,12,24,28,0,0,90,6.6,C,16 STR,Titanite,
Monastery Headcloth,15,16,14,14,13,10,9,10,0,17,10,9,11,55,0.6,E,,Twinkling Titanite,
Monastery Headcloth+5,22,24,21,21,20,15,13,14,0,25,16,14,17,55,0.6,E,,Twinkling Titanite,
Moon Butterfly Hat,27,20,26,26,14,9,14,12,0,26,11,15,16,35,0.8,E,,Twinkling Titanite,"INT+1, Posion Dmg"
Moon Butterfly Hat+5,41,45,39,39,21,14,22,18,0,39,17,22,24,45,0.8,E,,Twinkling Titanite,"INT+1, Posion Dmg"
Moon Hat,26,27,25,25,19,13,13,16,0,8,8,0,0,50,2.2,E,,Titanite,
Moon Hat+10,52,54,50,50,38,26,26,32,0,16,16,0,0,50,2.2,E,,Titanite,
Nahr Alma Hood,19,20,19,19,11,9,10,19,0,9,9,12,12,50,1.5,E,,Titanite,Souls Aquired +
Nahr Alma Hood+10,38,41,37,37,21,18,20,38,0,19,19,25,25,50,1.5,E,,Titanite,Souls Aquired +
Old Ironclad Helm,56,52,61,56,8,9,6,8,11,5,14,0,0,45,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit
Old Ironclad Helm+10,113,104,121,113,16,18,13,16,11,9,28,0,0,45,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit
Old Knight Helm,77,73,80,77,9,9,7,9,14,7,15,0,0,20,7,C,,Titanite,
Old Knight Helm+10,155,145,161,155,17,17,13,17,14,17,29,0,0,20,7,C,,Titanite,
Pate's Helm,38,27,51,38,8,10,3,8,5,9,17,0,0,80,3.5,D,,Titanite,
Pate's Helm+10,77,53,102,75,15,20,6,16,5,17,34,0,0,80,3.5,D,,Titanite,
Peasant Hat,9,9,8,8,4,4,5,4,0,6,5,0,0,45,1.3,E,,Titanite,
Peasant Hat+10,17,19,16,16,8,9,11,6,0,12,10,0,0,45,1.3,E,,Titanite,
Penal Mask,65,59,73,60,27,33,17,30,5,10,15,21,41,120,5.1,D,,Twinkling Titanite,Raises Equipment Load
Penal Mask+5,97,89,109,90,40,50,26,45,5,15,22,32,62,120,5.1,D,,Twinkling Titanite,Raises Equipment Load
Priestess Headpiece,23,24,22,22,14,14,20,16,0,9,9,11,11,50,1.2,E,,Titanite,Faith+1
Priestess Headpiece+10,46,47,44,44,28,28,39,31,0,19,18,22,22,50,1.2,E,,Titanite,Faith+1
Prisoner's Hood,4,4,4,4,4,4,6,5,0,5,4,0,0,25,0.8,E,,Titanite,Item Discovery
Prisoner's Hood (2),4,5,4,4,4,4,6,5,0,5,3,0,0,25,0.8,E,,Titanite,Item Discovery
Prisoner's Hood (2)+10,8,9,8,8,8,8,12,9,0,9,7,0,0,25,0.8,E,,Titanite,Item Discovery
Prisoner's Hood+10,8,9,8,8,8,8,12,9,0,9,7,0,0,25,0.8,E,,Titanite,Item Discovery
Rogue Hood,11,11,11,11,4,4,4,5,0,4,4,0,0,40,0.7,E,,Titanite,
Rogue Hood+10,22,22,23,23,7,8,8,9,0,8,8,0,0,40,0.7,E,,Titanite,
Royal Solider Helm,41,93,43,42,12,13,9,13,6,11,12,0,0,70,4.8,C,,Titanite,
Royal Solider Helm+10,82,78,85,84,25,26,17,25,6,22,25,0,0,70,4.8,C,,Titanite,
Royal Swordsman Helm,42,37,47,44,10,12,7,10,7,6,12,0,0,75,4.7,C,,Titanite,
Royal Swordsman Helm+10,84,74,94,88,19,25,13,19,7,11,25,0,0,75,4.7,C,,Titanite,
Ruin Helm,53,48,57,54,12,14,8,12,8,7,17,22,0,105,4,C,,Twinkling Titanite,
Ruin Helm+5,80,72,86,81,19,21,13,19,8,11,25,33,0,105,4,C,,Twinkling Titanite,
Rusted Mastodon Helm,59,55,63,59,8,8,5,8,10,10,11,0,0,40,6,C,14 STR,Titanite,
Rusted Mastodon Helm+10,118,110,126,118,15,17,10,15,19,20,22,0,0,40,6,C,14 STR,Titanite,
Saint's Hood,23,25,22,22,17,17,21,17,0,10,9,20,18,55,0.9,E,16 FTH,Twinkling Titanite,Spell Increase +
Saint's Hood+5,35,37,33,33,25,25,32,25,0,16,14,30,27,55,0.9,E,16 FTH,Twinkling Titanite,Spell Increase +
Sanctum Knight Helm,96,88,104,96,12,12,10,12,9,12,18,0,0,90,5.8,C,,Twinkling Titanite,
Sanctum Knight Helm+5,120,110,130,120,18,17,15,18,9,0,0,0,0,90,5.8,C,,Twinkling Titanite,
Sanctum Priestess Tiara,29,31,28,28,14,20,12,14,0,12,11,0,7,55,2,C,,Titanite,"Blocks Profound Still, decreased Intellegence"
Sanctum Priestess Tiara+10,36,38,34,34,21,30,18,21,0,17,16,0,10,55,2,C,,Titanite,"Blocks Profound Still, decreased Intellegence"
Shadow Mask,34,38,30,30,16,20,19,24,0,27,21,17,0,60,1.8,E,,Titanite,
Shadow Mask+10,67,76,60,60,36,41,37,48,0,54,41,34,0,60,1.8,E,,Titanite,
Smelter Demon Helm,129,116,142,129,18,34,17,18,15,12,28,18,18,160,9,C,,Twinkling Titanite,
Smelter Demon Helm+5,194,175,213,194,27,51,26,27,15,18,42,28,28,160,9,C,,Twinkling Titanite,
Spiked Bandit Helm,44,44,45,42,13,14,11,13,3.5,10,14,0,0,60,4.1,D,,Titanite,
Spiked Bandit Helm+10,88,88,91,85,26,27,22,26,3.5,19,28,0,0,60,4.1,D,,Titanite,
Standard Helm+1,40,28,50,39,8,10,3,8,5,10,18,0,0,65,4,D,,Titanite,
Standard Helm+10,80,56,106,78,15,20,6,15,5,19,36,0,0,65,4,D,,Titanite,
Steel Helm,62,59,66,62,9,10,7,9,12,8,14,0,0,100,5.4,C,,Titanite,
Steel Helm+10,124,118,132,124,19,20,14,19,12,17,28,0,0,100,5.4,C,,Titanite,
Syan's Helm,61,55,65,63,12,16,7,12,10,7,20,0,0,85,6.2,C,,Titanite,
Syan's Helm+10,123,110,131,125,24,32,14,24,10,14,41,0,0,85,6.2,C,,Titanite,
Targray's Helm,36,34,39,36,9,9,7,10,5.5,11,12,0,0,75,4,C,,Titanite,
Targray's Helm+10,73,68,79,73,18,18,15,20,5.5,22,24,0,0,75,4,C,,Titanite,
Tattered Cloth Hood,20,21,20,20,11,15,10,11,0,18,6,0,4,55,1.1,E,,Titanite,
Tattered Cloth Hood+10,41,43,39,39,22,29,19,23,0,35,12,0,8,55,1.1,E,,Titanite,
Thief Mask,20,21,20,20,10,7,7,8,0,12,8,0,0,55,1.2,E,,Titanite,
Thief Mask+10,40,42,39,39,19,15,14,16,0,23,16,0,0,55,1.2,E,,Titanite,
Throne Defender Helm,87,84,90,88,18,20,10,18,8,12,20,0,0,100,6.4,C,,Twinkling Titanite,
Throne Defender Helm+5,131,126,136,132,26,29,16,26,8,18,31,0,0,100,6.4,C,,Twinkling Titanite,
Throne Watcher Helm,70,66,75,70,30,20,16,20,4,16,28,0,0,95,5.6,C,,Twinkling Titanite,
Throne Watcher Helm+5,104,99,112,104,46,30,24,30,4,23,28,0,0,95,5.6,C,,Twinkling Titanite,
Traveling Merchant Hat,25,27,24,24,7,8,8,7,0,9,10,0,0,60,2.6,D,,Titanite,Item Discovery
Traveling Merchant Hat+10,50,53,49,48,14,15,17,14,0,18,20,0,0,60,2.6,D,,Titanite,Item Discovery
Tseldora Cap,10,11,10,10,5,5,6,4,0,5,5,0,0,40,1.4,E,,Titanite,Souls Aquired +
Tseldora Cap+10,20,23,20,20,9,10,12,9,0,10,10,0,0,40,1.4,E,,Titanite,Souls Aquired +
Varangian Helm,53,46,60,65,17,19,10,17,5,17,23,0,0,55,4.6,D,,Titanite,
Varangian Helm+10,106,92,119,109,34,38,20,34,5,33,45,0,0,55,4.6,D,,Titanite,
Velstadt's Helm,113,103,119,117,17,18,10,36,11,13,31,18,23,140,7.5,C,,Twinkling Titanite,END & VIT +1
Velstadt's Helm+5,169,155,179,176,26,27,15,54,11,19,46,27,35,140,7.5,C,,Twinkling Titanite,END & VIT +1
Vengarl's Helm,99,93,105,99,15,19,14,15,12,14,18,0,0,85,6.8,C,,Twinkling Titanite,
Vengarl's Helm+5,148,140,158,148,23,29,20,23,12,21,27,0,0,85,6.8,C,,Twinkling Titanite,
Wanderer Hood,23,22,23,24,8,10,11,8,0,9,14,0,0,50,1.4,E,,Titanite,
Wanderer Hood+10,46,44,47,47,15,20,22,16,0,17,28,0,0,50,1.4,E,,Titanite,
Warlock Mask,26,30,24,24,36,17,24,36,4,19,19,24,60,50,4.8,E,14 INT,Titanite,Souls Aquired & INT+1
Warlock Mask+10,52,59,48,48,72,33,48,72,4,38,38,47,120,50,4.8,E,14 INT,Titanite,Souls Aquired & INT+1
White Hollow Mage Hood,34,35,33,33,26,20,21,23,0,13,13,19,19,50,1.8,E,,Titanite, INT+1 (Set)
White Hollow Mage Hood+10,67,70,66,66,56,41,43,47,0,27,25,38,38,50,1.8,E,,Titanite, INT+1 (Set)
White Priest Headset,23,25,23,23,14,14,18,16,0,10,9,9,9,50,1.4,E,,Titanite,Faith+1
White Priest Headset+10,47,49,46,46,28,28,37,31,0,10,9,9,9,50,1.4,E,,Titanite,Faith+1
Xanthous Crown,67,116,67,44,16,5,11,15,0,7,7,0,83,60,5,E,,Twinkling Titanite,
Xanthous Crown+5,100,174,100,66,24,7,16,22,0,11,10,0,125,60,5,E,,Twinkling Titanite,
